Email Address,Empty Column,Are you interested in working on a self-designed project?,Domain 1,Domain 2,Domain 3,Domain 4,Domain 5
Person1,,Yes,Governance/Politics/Policy,Holistic Development and Wellness,Law and/or Human Rights,,
Person2,,No,Foreign Policy,Governance/Politics/Policy,Rural Development,,
Person3,,I'm not sure,Art/Heritage/Culture,Education and/or Training,Environment & Natural Resources,,
Person4,,I'm not sure,Banking and/or Finance,Environment & Natural Resources,Power and Energy,,
Person5,,I'm not sure,Education and/or Training,Gender,Media and Entertainment,,
Person6,,Yes,Agriculture,Education and/or Training,Rural Development,,
Person7,,I'm not sure,Banking and/or Finance,Education and/or Training,Environment & Natural Resources,,
Person8,,I'm not sure,Digital Technology,Education and/or Training,Governance/Politics/Policy,,
Person9,,Yes,Foreign Policy,Gender,Governance/Politics/Policy,,
Person10,,Yes,Education and/or Training,Health and Healthcare,Organisational Behaviour,,
Person11,,Yes,Environment & Natural Resources,Foreign Policy,International Relations,,
Person12,,I'm not sure,Commerce and Industries,Entrepreneurship,Governance/Politics/Policy,,
Person13,,Yes,Art/Heritage/Culture,Governance/Politics/Policy,International Relations,,
Person14,,Yes,Digital Technology,Education and/or Training,Health and Healthcare,,
Person15,,Yes,Education and/or Training,Organisational Behaviour,Rural Development,,
Person16,,Yes,Education and/or Training,Management Consulting,Organisational Behaviour,,
Person17,,I'm not sure,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person18,,Yes,Art/Heritage/Culture,Education and/or Training,Organisational Behaviour,,
Person19,,No,International Relations,Management Consulting,Power and Energy,,
Person20,,I'm not sure,Education and/or Training,Gender,Law and/or Human Rights,,
Person21,,I'm not sure,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person22,,I'm not sure,Art/Heritage/Culture,Gender,Governance/Politics/Policy,,
Person23,,No,Environment & Natural Resources,Foreign Policy,Governance/Politics/Policy,,
Person24,,I'm not sure,Gender,Housing & Urban Development,Water and Sanitation,,
Person25,,Yes,Environment & Natural Resources,Fashion,Sports,,
Person26,,Yes,Governance/Politics/Policy,Health and Healthcare,Management Consulting,,
Person27,,I'm not sure,Education and/or Training,Food and Beverages,Governance/Politics/Policy,,
Person28,,Yes,Education and/or Training,Entrepreneurship,Governance/Politics/Policy,,
Person29,,I'm not sure,Entrepreneurship,Environment & Natural Resources,Handicrafts and Textiles,,
Person30,,I'm not sure,Governance/Politics/Policy,Health and Healthcare,Management Consulting,,
Person31,,I'm not sure,Education and/or Training,Environment & Natural Resources,Holistic Development and Wellness,,
Person32,,Yes,Health and Healthcare,Rural Development,Animal welfare,,
Person33,,I'm not sure,Digital Technology,Entrepreneurship,Management Consulting,,
Person34,,I'm not sure,Digital Technology,Gender,Health and Healthcare,,
Person35,,No,Entrepreneurship,Fashion,Food and Beverages,,
Person36,,I'm not sure,AI and Robotics,International Relations,Management Consulting,,
Person37,,I'm not sure,Education and/or Training,Governance/Politics/Policy,Management Consulting,,
Person38,,I'm not sure,AI and Robotics,International Relations,Law and/or Human Rights,,
Person39,,No,Banking and/or Finance,Digital Technology,Education and/or Training,,
Person40,,Yes,Art/Heritage/Culture,Education and/or Training,Handicrafts and Textiles,,
Person41,,I'm not sure,Art/Heritage/Culture,Education and/or Training,Rural Development,,
Person42,,Yes,Banking and/or Finance,Management Consulting,Organisational Behaviour,,
Person43,,I'm not sure,Education and/or Training,Gender,Law and/or Human Rights,,
